AVG_length=38.900324		
AVG_width=9.945946		
AVG_ar=3.951307		
		
STD_length=5.476710		
STD_width=1.846596		
STD_ar=0.365072		
Index	Length	Width
786	50.77059175	15.63956038
787	34.87030695	8.759280799
788	44.49731845	11.23507761
789	43.60244564	10.64269
790	35.30324647	9.562758046
791	37.95539471	9.574088686
792	36.61895377	8.284356714
793	37.97602842	10.14542001
794	35.80809797	8.462745594
795	33.36356503	7.754110152
796	34.40004481	7.626651904
797	47.25939658	12.06622885
798	35.72759902	8.719509588
799	32.37634844	8.76542803
800	43.13827452	10.6780142
801	40.66940662	10.5796179
802	39.88609158	9.530544932
803	37.85051083	10.17644239
804	36.52910386	9.778357658
805	41.98285736	11.35499233
806	38.30971503	10.26769432
807	32.1172467	7.986182698
